Meter Reading (MR) Doc. No.,EQUNR,Geplante Ableseart,MR type,MR TYPE TEXT,MR category,ISTABLART_TXT,LOGIKZW,KENNZIFF,Record created on,Object changed on
"SbNmbwvFHFw+SebmUiRNAL/ccWRdDkpdvTFu/nj","bQVoWpTYQQ+UZIjnTQVnQSbXkoJnyTGqMuSamYk","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","ZpuWVwTrfjnaJEdSZbUYDxQlUBchZ+GPSgDTZQx","1-1:1.8.0",2020-03-17T00:00:00,
"oqyhRyLXQhIUohZrTsbUCVRNrALrQCoVKhRSwUp","URROXkqYenQZbwJlkRzWQYYvIONCXYnoXgQjAai","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","TIYlVFiZzNJGhKYBosvwX/YXtCSKsxOhppkIOui","1-1:1.8.0",2020-03-17T00:00:00,
"LTVvXhTbgShPUaCKmNVDh+/IGRqTqZYPRYZUYgy","C/UKcql/fTTUsDWkSqUukrYDHcLEIlnvYkpLquS","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","QrgI+ytkFOdQQiHoaGYXmciYYbOSqDHKYNtmfYf","1-0:1.8.0",2021-08-25T00:00:00,2021-08-31T00:00:00
"uVNWJOcKWfShUMQrPO/SlCRNbUSTQnwWlSRxWiT","rceAvFVuoEDOUHzpRxgIKXrRiHUoXZayTX/RYcQ","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","TWBOurSMwKYY/vAXqnZX//USEwtPhSlbMOC/oaL","1-0:1.8.0",2021-08-25T00:00:00,2022-12-06T00:00:00
"ASCyZKWTnyTEJHyeXzY/LUvBkXyYXBKZYuIeADS","QASYyDa/uTFtjMU/TDhQpGSUAyNYUUjxUVHmhhQ","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","GqZhwINHUIRZoehvuPbYgj+z/+unOrYWxcXZeqI","1-1:1.8.2",2021-08-25T00:00:00,2022-09-09T00:00:00
"kqgQMSwqhwiEVejbaazGVmsVmtyYGEhccUYnmvC","jYaFOWYXqQZObUlqQSbIpCXjdhxmYqLzWaUhMTU","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","fBhfuzFiNTUUYPgXFY+XDEfPeIKfPkssYWLLZWA","1-0:1.8.0",2021-08-25T00:00:00,2021-09-22T00:00:00
"NoBYRUAWrKQQZebRmVeGPCvFoTmVWykTbBdQwLI","kJxaam/SLAjlfbrEDXFUBIVCtIUbnVVSZKZqVpU","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","qVhkTjGXicCKtGlU+QscVZIqymxZw+zCWgxXTEt","1-1:1.8.2",2021-08-25T00:00:00,2022-06-27T00:00:00
"MUdoSvYgVT+IpYgXqiNDvHZXWFaTPljzzHXswYJ","XLltHWRuygXhRuz+lIFaQZzZcUaQEYISYvggdWS","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","XpiqSGnlHSQCSYZhWVYbMYYDUsRbSUgFItChhqE","1-0:1.8.1",2021-08-25T00:00:00,2023-01-14T00:00:00
"XDlZITuQctRYfCwXwroDEzmYlHvSUWGgYfsqroq","ZzVSFXkEYtDSWHXhrpbLVMfCuVXspjiQTR/UxWE","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","qZzyRlvlCfHTxhRhvj/EUSrUMyphfQVwcJLXlxz","1-1:1.8.0",2021-08-25T00:00:00,2022-09-05T00:00:00
"VMQgKUeqSLQZpMZUXXbDhCXPYpivsrmRYXEyywo","XYmpSMSDYJYkLcUZpYvYqXQQDBBTYbZNvqXsWQV","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","QjiHnVJI+FUzQp/XGHSPGTUjvzYWQzquAJWSQPv","1-0:1.8.0",2021-08-25T00:00:00,2021-09-08T00:00:00
"FeGTgZmAVlKmrSXHMNVZiiYsTfyiQPyQMDtUPAe","SfbuIGStdYbgVepdSZxSeeJiEWHbEIUVNQtwWDt","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","BStYUAVMRZYwfYgSTVm/SkqOHXQWrBhFVxtNfHT","1-1:1.8.0",2021-08-25T00:00:00,2021-09-08T00:00:00
"BhMNuAVYMhwvtVGUxSTYbAY/LLtVpm+SSBXREBA","XvYNYNZJpVQXQI+vTH+oOHRNtgETsaSIHlUQyTq","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","XVJfZPGV+dIpZdKXumQugTOqQ/n+fzYSUdbPhrG","1-0:1.8.0",2021-08-25T00:00:00,2021-08-31T00:00:00
"WNzVhdEfIGouYbJDsGkrcvITjyjWUPvwPNtUyFV","zWnZbxSSmSCorbk/WSYyaZCsVETivGGZgVmDmcf","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","kb/DZbYOohUGSVtSsBotHZuEVQTzGlzTSohRXIU","1-1:1.8.0",2021-08-25T00:00:00,2021-09-08T00:00:00
"vLDukg//fXUfmLVQVE/XaSgVwySsZWREYthYqZZ","eglPXSBcCYIQuZlRdSDHCxBXWXTqZhUNXwVV/FQ","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","AQtgaWyIEHgfXmoSEGQBOHWA/zU+JrS+INYzSdL","1-0:1.8.0",2021-08-25T00:00:00,2022-02-14T00:00:00
"lLUjnTHpQCBZbjUBzHyWPsfXYBzPn/gTIVMbAyT","WL/VaoTDCdQjsnXfoJoKQBYgWTXvIRRZjbOHtcD","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","uTKjjU/BtZUWDVUmnlgYEtVagJcaUVSOVseQ/Bd","1-1:1.8.0",2021-08-25T00:00:00,2021-09-06T00:00:00
"bx/BvcSuYnutx/GbenaVxZZmQ/CvStmLPZTFgfL","IE+bb+GVqBGzJJ+MRQwKQ/YvVWAXuOYTDtXxPUH","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","tVVTcEGBFyTSQjJvgAGTUoVVaaVJCtYXqUhuwsV","1-1:1.8.0",2021-08-25T00:00:00,2021-09-06T00:00:00
"RuiLWIuDVfdkjODXKMuhpkmikyWZVSnjwgjpAtx","EpwYiqVSGiYqzHVRwEGCUKUYTpsQxtVPTUSFpUc","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","ifRWRQGdlneYvwdfNTdSQQOxZVNgfELZZF/tsMM","1-0:1.8.2",2021-08-25T00:00:00,2022-02-15T00:00:00
