Meter Reading (MR) Doc. No.,EQUNR,Geplante Ableseart,MR type,MR TYPE TEXT,MR category,ISTABLART_TXT,LOGIKZW,KENNZIFF,Record created on,Object changed on
"SYSyruxuGIEKTuQ+qJvRWWhlSfIVxJRXYqVevUP","JRSfzPwaSW+iWOcokNWMYvnbLAxWVlQTXPYh+Cd","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","mGaMYMEfsXSovchLvtJXvSLxgVifelVpzmCQLV/","1-1:1.8.1",2020-03-17T00:00:00,
"lyxEGrJfkpfUk/rZzcXGXNbkxbSV/FqOaBKUTMH","JRSfzPwaSW+iWOcokNWMYvnbLAxWVlQTXPYh+Cd","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","UbTo+KSYUXPWXuWfzBHCHSkSdJDkBxLPLRALjcQ","1-1:1.8.2",2020-03-17T00:00:00,
"lPYI+UXxNOCpMYNUNCZVQffYnQezPNYQLzQtuZN","plVONHPeYpPoDglguSaTzzhUSdWOvuyWUrOJtXW","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","IRlHQWPHUXpOpfHXfxQatmoYwtZUmsTpFlGPYQl","1-1:1.8.0",2020-09-03T00:00:00,2024-06-21T00:00:00
"WSUMMXTZStRTSPnAqwVqgwcPUblll/PvlkD/SXQ","Ihu/DuZZSVCj+YbXVfvrkVURd/dfYklxPCtBfSM","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","BQlOILTiZeiC/oRktBTKKNEzCGLyrxXTBneOsVj","1-1:1.8.0",2020-09-03T00:00:00,2021-12-09T00:00:00
"RTwUQECqIRccUCqUMwZS+HHWZXQX+ovfQJzYLZV","RhmS/LV+QevWcbzIxvSuwPO/jSQfpYgFZzdRMIX","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","djvjjwQRQraQfMbhoYtrGFZLWVQcGPgJfxUUXfN","1-1:1.8.0",2020-09-03T00:00:00,2020-09-16T00:00:00
"OAIubVmV/DWlWY+WdS/TVS/zZT+khoXIERFlUDn","YjLZVUCTRiCQARvTyZTUfVSVMooOURwVFWjnakh","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","mzXuzRoQHZewRtwSUVbTiUGWXeYVTGLGvewFiIw","1-1:1.8.1",2020-09-03T00:00:00,2020-09-21T00:00:00
"pLRciAvJOjJ/DkW+nuYgFYzElXzXVdr+ofWBlhR","MDGdBAViojNSwgbQEzFZRqmqBRXebiDdbLCfUzF","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","NnmnTZBwaOWmgLSroLbLKdaRfkCTAYD/WHAVEEf","1-1:1.8.0",2020-09-03T00:00:00,2020-09-16T00:00:00
"UTVRCYUUARhRNSKktQRTXi+RBYUVHSeQlpkllpB","OLudTXzTqhZlcvtzauYPwAjNhnQSTsSbIwEBHVP","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","HeGSzEdOviA/QnZv/mRXJEVCXUuR+QIDUVjaQXM","1-1:1.8.0",2020-09-03T00:00:00,2020-09-16T00:00:00
"icVYYbdTlH/uXWTbWOJPXJORQYiXg+ghVsXsCxi","DLCXVVrVCvTSulToVmQUDSEpyGcpSevDLxkGQjQ","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","unFUZXOOpRZpXd/DQupWVRsSP+haszyCTfxYXJ/","1-0:1.8.0",2020-09-03T00:00:00,2020-09-17T00:00:00
"SyhOtgsTQTfbVyTBYpjTZOuSifGB/RRqQDZHtKt","MUI/HtTTOsgIEXVPaTsZKhozSWkmSUbWbzRpwTN","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","QmeOHPwWuLXWMYMafqShUoVahTsESCLipFzQMkk","1-0:1.8.1",2020-09-03T00:00:00,2020-09-16T00:00:00
"'+kktURRSTnCj+QXWOPFehhVlsLTsRKQiXEhvWkT","FzXRINNeVLBGUXVPFHwVZRlzNLUBaaViOXykEFw","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","EZJsXrbDt/tKxqkwRWXAwPivmkvfFEtWOxAAWWb","1-1:1.8.2",2020-09-03T00:00:00,2022-04-13T00:00:00
"rHycdCVmzoAqOT+siPo/FYnNoxWXjHoIVCsJOVs","sYjbWgSbbmSAHfyQLSYRsfrWSjloagwEBTiLTQx","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","ZYVZXbvxmYYJpSnAQpioPrTlaGX/RqUcSWewYBI","1-1:1.8.0",2020-09-03T00:00:00,2020-09-17T00:00:00
