Meter Reading (MR) Doc. No.,EQUNR,Geplante Ableseart,MR type,MR TYPE TEXT,MR category,ISTABLART_TXT,LOGIKZW,KENNZIFF,Record created on,Object changed on
"MJPQGrKLsGsQLpIRZylGMSubJiehMsTPhQApAhI","OWft/NXLRZkBRTCTxXjrzmpSIQshzpIJ/vtWUhN","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","BIwAZknsYaZSzeyFwLNUITSTojbzQzHnJNVOIfo","1-0:1.8.2",2020-09-10T00:00:00,2020-10-13T00:00:00
"OzEWcCVNXEAXEOncNzYrqzDQYhs+hJonWTHNNTN","UMluPzqbcbzpUO/HhkkWpalu+lVLEjbQaJQiTHQ","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","lfDsVtvxSaRTnyKQYTXUSVeqhLFAR+iSUzfqhYt","1-0:1.8.1",2020-09-10T00:00:00,2020-09-28T00:00:00
"ZpslKwKAKLURInMeQZ/ZcWbGCib+WrTaLVsrQqU","eo+ZQOHMZDDYnhlvVTvxygKoTqhyzViehYUeSXX","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","yOHxInTMrVVicJcnZXgvEyPFEJYOFSBGiklSoik","1-1:1.8.2",2020-09-10T00:00:00,2020-09-18T00:00:00
"VmxLASPSNNuGEXhYOUCYaFjbUuslUSZulWEEipf","MJPJDEKuxHlwUYRODOnMXETneaRTwa/AAAS+Msr","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","WjzSKArSnk/kSDRUVTtVlfQUYUJVvRwmgvSYsCQ","1-0:1.8.1",2020-10-15T00:00:00,2020-10-16T00:00:00
"jLGoLquTpxKqMStDXGcklOjRQQ+gWphDMwFNjHR","O+WkQdQuzrWZUzBXmDPlKuzWLBWsqWxZSqGOoIF","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","reR+/b+YQaBGtsSoypvPyFmxnGzwOIrLUnROiVL","1-1:1.8.0",2021-09-09T00:00:00,2022-09-19T00:00:00
"VJnImKugvgMzYCTa+OSphWJXVTFkiiyReYWRiZN","liuuwRBPqFuNnpHnMWvQYYfDEGYQsydcotjkzlN","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","YEYpYhTjZYphnlSIfSSQPiUJxGaWUrjAHabIHYa","1-0:1.8.2",2021-09-09T00:00:00,2022-06-14T00:00:00
"VMBVDoIeYAtcuCXILvkaXAYiXSXGlLvGRNsFhu+","eo+ZQOHMZDDYnhlvVTvxygKoTqhyzViehYUeSXX","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","yOHxInTMrVVicJcnZXgvEyPFEJYOFSBGiklSoik","1-1:1.8.2",2021-09-09T00:00:00,2021-09-24T00:00:00
"HzPsNLLcariSTItCXqSAULMHUeVTtxjVBUaHGfJ","LBehrmZeWSNgRZIVDUeYzocgtw+TSMmVo/StBPl","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","URLdzlMRvgBGlzeSQTcRUqJHvZUgNsRqKSlAWPF","1-0:1.8.2",2021-09-09T00:00:00,2022-11-21T00:00:00
"SYlzVoRZBpXsYsVJLLcmMpmvsivYBJnVXTJTjXn","nfSTZXXbNBnuCJOgeJxIUbTTplFeUEQaOsqvYHE","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","XqZhHwhIT+TZDQXnrrPWYKUAMnPjmezxabZcLZW","1-1:1.8.0",2021-09-09T00:00:00,2022-01-20T00:00:00
"JXcTSQwmZeiyhClR+RemYhNTVKtYPqmUTlfJUwy","AJeCJTQbYSURyUtMVGKueUyNpMRYQTLgpKs/eGO","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","oRXeVLVkOKozTQURhVpJUVPretnZHuhpIRZ+WBa","1-0:1.8.1",2021-09-09T00:00:00,2022-12-09T00:00:00
"CXVHtGpPrwJSu+cRNMZHLmVUCIITnoTVFqREYZd","IYYBYYHlJrHeHbJJnX+jCWDZWEVSWjbWIWwEYVQ","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","OUSfMmcopbueQQsUhJVRaofA+JEShDwWnlriZQw","1-0:1.8.0",2021-09-09T00:00:00,2022-01-14T00:00:00
"/XXWozAePAsLVzEWPZySLEbAnbEbxPNxVTQGUaZ","eCWYDQkTaSuQcFrYmPqthCKQAhUEUJlQjIJZHkt","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","oEVQbndrqmsTXjMUFGgRhLLcBZqUhvXavmlTegp","1-1:1.8.0",2021-09-09T00:00:00,2021-09-28T00:00:00
"wxDvFRYgCJxYZ/jrIXggeKcDQJV/GoYakICGSaP","xOPkSUIZuFvjxVzzQnUtp/obmRZtmmzh/ENBXeP","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","TBSUYZwgcyWqNZQtQSfQecVdKqToqhXtfRpBTa+","1-1:1.8.0",2021-09-09T00:00:00,2022-01-04T00:00:00
"ovQOElrxCtQJnWnTmMYQTSaViDbuWkoFtzQXvQx","A+VvHXagvqWMBhnAyfpDehkHjZwmudaS/OmQ+RC","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","NsOKLTC/sIhXOUrGUHXYRVSVSQfWVL/UqQD+dGW","1-1:1.8.0",2021-09-09T00:00:00,2021-09-29T00:00:00
"UKSUNUkFZvQbDcJYWzZhnOtMkYxRssnGgXTTIKc","EHeUPoFPk+ybJEMHCmUXtYkPzWeWqTXLOPXT/yv","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","'+jNVVYqNvonaaOrowzQvpMmVTTKCuVzfhxouTsR","1-0:1.8.1",2021-09-09T00:00:00,2022-12-09T00:00:00
"YdvmoTadYqSOTvysZmQ/oNFnZeHzJVVkyWjyUXg","eBcohqcWXjqzThPLTtKrUTkDiWiWtCDLrSjdcL+","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","jwohQmQbTQRBj+QEVaqWHJTrzyx+UhGraoeQPwY","1-1:1.8.0",2021-09-09T00:00:00,2021-09-24T00:00:00
"T+BMmibWKpQMdavEEVOxBEKYuzRC/BIiuzuQHZd","lhLpPKC/RNLAEVdRJHfaIRpbXKN/XgaicZUYrqJ","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","IQHdNxlVXFRZjdGPZZYRvUpsupWyNTMGBVQXrGc","1-1:1.8.0",2021-09-09T00:00:00,2021-09-28T00:00:00
"rJhSTzXTnBgJQHqWkONWVUVrTtbEaoXzTsoRUAQ","bRuQrTiCoYTE/xRJlUnrvoCcnzwskBveHniiZQz","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","nfpazdevDKTuQWYKZFmJpRzjGhX+W/BR+CWHKRD","1-0:1.8.0",2021-09-09T00:00:00,2023-01-16T00:00:00
"DpTUoMFvRLVR/IeksIEfJqKSdcILSSqdRhSkLXF","pdBnZaITNMRX+PIuAmYRUnfSXDtrAJjAZzTlKZK","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","wOBybJGmGNUeEflE+xFXawoARPY+wU/BKVXMJcz","1-0:1.8.0",2021-09-09T00:00:00,2021-09-23T00:00:00
"jXqcAPTUkWMHzlbTWOYWMeLfQYludtTleFhXcPn","NxE+TqVQxinzGuZkjcUKjUTpI/yuNXkJiTYURWW","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","TJURXqsQJcSBAEy+YGrVbwpPsWuEFicZvVQkI/N","1-0:1.8.0",2021-09-09T00:00:00,2022-04-11T00:00:00
"sWNTrWXqqdLvYYWlaXRTYutPj/BhLzBXjLEVRWr","gRiTXLAgZ+MSoswifN+HGhXLTO+zUghUYQVgoyu","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","siUknQZijQLfTduFHpqPSAPDyk+U+WJyNSBixCd","1-1:1.8.0",2021-09-09T00:00:00,2021-09-29T00:00:00
"nSjaqSGXOQzbiBUUYZjU+RAFsReXXHSMKaMVUZi","KPDINKcDDzcYOOKYcSlINdj+XMQVpCOBPSVCYzI","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","kjgvKegUSLu/iYfgGDTLlQTT+rVyKcSpSYHXZzT","1-1:1.8.0",2021-09-09T00:00:00,2021-09-23T00:00:00
