Meter Reading (MR) Doc. No.,EQUNR,Geplante Ableseart,MR type,MR TYPE TEXT,MR category,ISTABLART_TXT,LOGIKZW,KENNZIFF,Record created on,Object changed on
"CmMLTkvQSEeZBpxpVwQPWlWRLqfMtQubolQg+NS","ZlK/dgZSMTXoYTqZiWEONbaLTjZmqBPsLXSSUP/","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","AJUlpQfUBV+mAGZRCl/ZWbTfAOBUgDWMIZpRGrg","1-1:1.8.0",2020-03-17T00:00:00,
"Z/yTNGxuTYQWXCUIlJQKfoIfCSCW+lipnodmRZW","JpMuUZHGDSdYRNP+QnVKnTVwwtQeHFAYFQRfSYj","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","TUJTXUsOcwLEQPsffjgsVQbNIIKnZHyQ/K/TTfZ","1-1:1.8.2",2020-03-17T00:00:00,
"P+OBRkvTcabXyx+dSXroPVslQLSkVMkMTRoZtdQ","dcPXcZzTkJQPRYSUiDSqEtgwfhVWG/ZvRhWIqfX","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","txXXsZKvYwuSXcNPgRYGkLVSyjrzZqZPWXmLOST","1-1:1.8.1",2020-09-16T00:00:00,2020-10-06T00:00:00
"JOMtsiTqZZqWGXOQXYySUhHf/eGCeMDSfAlGkKu","JpMuUZHGDSdYRNP+QnVKnTVwwtQeHFAYFQRfSYj","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","/RJoqZTyGeLJBdZYGdPUZQWhfwtgDiXWxSYXEXX","1-1:1.8.1",2020-09-16T00:00:00,2020-10-05T00:00:00
"NWRMGuWShbdOdJmZquGzdfWteDnVKgyhWOpZStx","yRheuBJVkGurHPlRxHFVjafYSYwFtUvVYmS/ovf","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","NUZlUaBdgVT+TXFoDfytZRXaDiQJpOiYRWbogRN","1-0:1.8.1",2020-09-16T00:00:00,2022-12-16T00:00:00
"DZtODZ/fhCLTGJlzXARSDWUMXqGsWljQYxxUPTM","EAoQkVWW+MdMfNorVtFDHhQhSibOZXGbXCMBQdU","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","EUswVWYBqsO/QxdtCShjtkWZmYYqmoY+WItwGVh","1-0:1.8.0",2020-09-16T00:00:00,2020-10-19T00:00:00
"ZuoXTFzpXvxBWqldBt+YNBgCvSSsqrUQOWZSt/R","SzTHYlNXVxNaidvUfoRRDhkYTjGRZcRboXTqtns","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","VSLntQcbt+KnThghBPTRRiYrtZgHLbqrvPpmIzw","1-0:1.8.0",2020-09-16T00:00:00,2020-10-05T00:00:00
"nsNHibQPQGARKzQAPNQRUPlbYzFXjRVFdu/OrzF","QTWQwYeUqDUNcoarKTNdVWKFzoWZXeM/VTFIRWR","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","wVMs+tPSVlnHSWmnRGlShWJaPOEGjbqEDUVPYzf","1-0:1.8.2",2020-09-16T00:00:00,2020-10-06T00:00:00
"srZKDMruNdNOTZnYlETRiBSaRRwTbBULtJrYHJu","iluWQwuXLbSxRkRafjyFRLHnLYqYQDJPWlPQWlS","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","tqhreQBqPL/UAbTEbzUOgRXxjsRmWpg+uYVYOdL","1-1:1.8.1",2020-09-16T00:00:00,2020-10-06T00:00:00
"c+qUJaZGJCiOxcQLaHxiRWYXT+QzriZJDjFNPnq","FcQShTz+YA+qNtQxpFofhRXEwtUNZA+lu+huJQi","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","AUckZY+bYtvBSO+cAupYLvQthCYnFxHMhmvOzTN","1-1:1.8.1",2020-09-16T00:00:00,2020-10-19T00:00:00
