Meter Reading (MR) Doc. No.,Installation,Meter Reading reason,MR Reason - Text,Scheduled MR Date,Meter Reading unit,Meter Reading (MR) Doc. No.
"MRaFdHiidbbtErWcxEFWACICChrBjdSTMYGpBEv","'+DkYONYGHHMBADmWEUJFgVlXbIwtzcCKEdZntXl","01","Turnusablesung",2025-09-23T00:00:00,"J09D1221","00000000000011726928"
"usFztpTfLGTlboQWdLFaSOSePwZvhmZpBdnYTWz","OyxZXNMwNaXXkrKJkUbRWHyKNFVij/hoekYigTP","01","Turnusablesung",2025-09-23T00:00:00,"J09D1221","00000000000011726952"
"e/VareBYDhNjRSQWDVJUXswVvHwMimf/phvsfas","wIwuFpzX+Ixd/VVgqVOAhrIJZUwXGxeXUycWN+/","01","Turnusablesung",2025-09-23T00:00:00,"J09D1221","00000000000011726982"
"YwFnSkquYpdGKA+RTCgCAWWlZDgEGcTiUcVtnYb","CupxrShYMXJWZRQWXTDMywF+CNNQjPMaCnhlfiM","01","Turnusablesung",2025-09-23T00:00:00,"J09D1221","00000000000011726993"
"ZiSrWYHQhHXgdCTK/NBYTJzQcSWGGvk/DmuybiI","gnRsC/BX+fboSs+ZUmORYYqaijGLzEsoLyOykHR","01","Turnusablesung",2025-09-23T00:00:00,"J09D1221","00000000000011727021"
"'+tKQqwZObrOY+sbZRNHWwZujYnwpIutNwSvaSVb","SPWQaRejZRwkMGnp/L/VVGRsVKqDRZCwGyJzYPB","01","Turnusablesung",2025-09-23T00:00:00,"J09D1221","00000000000011727029"
"iIjbOYLcfUfoFDVJrlYOloVERhXKMRnzUUxZCnA","TYcIpFNRDezUruQVaBIaRxnAmxSSZnathTQHRzQ","01","Turnusablesung",2025-09-23T00:00:00,"J09D1221","00000000000011727049"
"zOScMDlUHiYrUZYaUIAxjqeyyLzYoBTrLYFrgkp","opevYDCJXgJLuVQ+TdnfOUugWrneXaSylapQRZb","01","Turnusablesung",2025-09-23T00:00:00,"J09D1221","00000000000011727050"
"F+uGUxwZCJWdSBsmotVKNIRuQUsQnYSbViVSAlu","AWKTGUzYeQYQFPIoiSYfdbSzzUZMeRuMPxUTUrI","01","Turnusablesung",2025-09-23T00:00:00,"J09D1221","00000000000011727054"
"lWZXDLdjSyYWXwQbqzgw/yAAalz/rBUrGwjyhX/","RnbTAyKuRZLLWXRL+hQowSsOHpNRYWDUpSmSJbF","01","Turnusablesung",2025-09-23T00:00:00,"J09D1221","00000000000011727064"
"USGQZYlqr+nAZovBQCTQFBauQWZulXlOiooFeWj","cVQl/EYyPBRBKTc+xuWXU/fjZddJfUvLhwFadUQ","01","Turnusablesung",2025-09-23T00:00:00,"J09D1221","00000000000011727066"
"VrOyGWTQuxVBmVCfwSbjsxVbSFRESTlYbgXQUTV","CHpOU/HfSWmlLkgsWEtgpZ/bTvZtphL/YqUIKH+","01","Turnusablesung",2025-09-23T00:00:00,"J09D1221","00000000000011727087"
"pzVTvqMQhKUplRsFS+NqApHkXcQ/wYABEUCkKJR","jJolQDtQGSijoRZTRpUdvMgTUXyWSaNrjJMEl/+","01","Turnusablesung",2025-09-23T00:00:00,"J09D1221","00000000000011727128"
"nBFSxxDJjmYkKZZdhTDWRZRAfX/GpsdnHJZnwHn","D+UAvyYWlMzRWUMXKBikpugyJoZeXhVjjS+XpEH","01","Turnusablesung",2025-09-23T00:00:00,"J09D1221","00000000000011727129"
"EhFQCaSoOSPKUzcVfERMCihWCYPqYpnKJcpzDJx","wVJSpqGXSHUSBiWcYipZMTQ/FPrgjgWvGAgtVau","01","Turnusablesung",2025-09-23T00:00:00,"J09D1221","00000000000011727145"
"jVSYY/ZVQHYVtIJFoSbLaQrYrWmoQRUfSTCRZRm","EECduNkSMFFYoLZUaoCVeX/DUKxRaabsPlNzEGe","01","Turnusablesung",2025-09-23T00:00:00,"J09D1221","00000000000011727154"
"j+AYjQEnhaXVFzGusSHgWrPFPs/CXtsQGHZRyBP","cY/okTrVexYXoTYFWraLnC/goNUITSKXUPbYEQq","01","Turnusablesung",2025-09-23T00:00:00,"J09D1221","00000000000011727175"
"mDttUkKkHlDtycTWtFGbqtSCyXlDtTXjDwmTAwB","XwWkwnSUZuIAQOVOYOggnKvfRlLINccjuTSwEtS","01","Turnusablesung",2025-09-23T00:00:00,"J09D3011","00000000000011727523"
"LXhPpYmSBZOLoO+cCycGZTFVwmMVWTGlXOXEW+n","SNTJvcYHfTdiYUqzbQSYvNXJK/ldqGWIXRpoYTs","01","Turnusablesung",2025-09-23T00:00:00,"J09D3011","00000000000011727578"
"UxvZzBTMYmXhyOFPLtcwBX/PFcYdipgmPrfPYTv","JcG+RATVSXtGFPswuRVxzrtiNkYTkJuauckSFRM","01","Turnusablesung",2025-09-23T00:00:00,"J09D3011","00000000000011727615"
"MXRHRCTyoVTJuSGJYkIcAltRKTWbXatadbSWRJS","FyGdhvjmhRuvtRTRkOqhYSwDyIfrpGdNdSTNHfy","01","Turnusablesung",2025-09-23T00:00:00,"J09D3011","00000000000011727643"
