"Installation","Installation type","Record created on","Object changed on","SPARTE_TEXT","AKLASSE","AKLASSE_TEXT","TARIFTYP","TARIFTYP_TEXT","BRANCHE","BRANCHE_TEXT","ABLEINH","ME_MA_ID","HAUS"
"wFWN/ZRMUyBVppaWwYQDvSib+UoSsCVJQNSNxau","HAUS","2020-01-24T00:00:00","2025-06-03T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1702","imVXurgogXVpfJwOavegTW/HJsnLuWzXdhQHcin","QToeCkeUeWDVZeAEAGcaNSIm+ncTqDbFZXFIWmT"
"P+kQgxCpuniNRqfPEbsWKzmbENORGGVZAVQaZSP","HAUS","2020-01-24T00:00:00","2022-02-15T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1701","'+vgCFpEWN+SUaJWEFPVcopWkJbwwLnV/MTsIaqp","bTWJEUTAvFvmgSqCtFXjlJWa/eizpMNgXLOnFjX"
"tGwtbNZauQeViYcRedoWx/twRhRGYvlZrEvSHdI","GEWE","2022-01-05T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","LLA 770","Öffentliche Beleuchtung","J09A1702","HvagAiwgghQcKHJJiAFpcwpIGxRyKXXwwTqApbT","jU+IXEWl+mdKwEsMX/JpYkKUhxjkj+OQTTsvOji"
"HdYWQRnUEmGwUXrDtSWWzcOj/RCBsaIMUOuTQTu","HAUS","2020-01-24T00:00:00","2024-02-06T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5402","WUixTDROOvUwWGSADmeUqwNicQvWQkxnQaoopDH","ZqSb+a/peWwbJgUSYYeDBhMLCPnTXStUmAZlJus"
"Qo+AFajpZTQWvZUfXmpRniRkZzhfoN/QXRZYurg","","2020-01-24T00:00:00","2022-03-30T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA","Private Haushalte","J09A4011","PXSxxEpXQaRbTJhUliEKEeOFkeKM+/+eUNRRgXS","SZLgZZCSbfkanhNTdAXBbkETSZW/IAyVWUTsSMp"
"L/KWNVQOQXpRNoRuUttZsLqTgy/mbdQmGiRIyBp","HAUS","2020-01-24T00:00:00","2023-02-15T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5405","fzLqxCDAXgLVDcZXoFfHRaT+Q+vGbWOBwfmQqqS","xIScBuVjR+KKURfRXRQxaYFdjpXGiNyxfPtnNZQ"
"EbqXgZmodDSLfaakcStYUkYUVYQhXafYBkVb/Zp","HAUS","2020-01-24T00:00:00","2024-02-06T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A6105","VUSe+digvQT/UFQPTwLkWtJ/dvL/kSjSWhPlGn+","aZzrmWfKYwVtkXVtYYYkfmuQRAPI+yr+BAZLV/o"
"YjZdXOtK/UBQXZFXfGsOWWrjNnAapwihcYWUN+o","HAUS","2020-01-24T00:00:00","2023-02-15T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1704","sVJCVkpmmAYWuvNXZoVoKWXspRuTKEejSToqjWQ","BjgYEvcZdmyJBXlqTWJQVTuvHREpqMqwFwZYhgo"
"BctjdTNmXakrHxJUWpkWevVMKXEVtoIislPcLGh","","2020-01-24T00:00:00","2022-09-30T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA","Private Haushalte","J09A4011","pqdMXd+KaNZSSVnJ+MVvxVRf+tlpZqfAVKrDwTP","pjTfVAsHeYCWZJwUQdEmkDTKqVyQYPjiY/bZGGu"
"rDhXjxy/UZnY+PZSZXdxTDkMNYQVzzQLaMdNUUH","HAUS","2020-01-24T00:00:00","2022-03-18T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A6105","Zb+azKpIVZgVEIyiy/fiNxLQttjLXEyBleLVVpc","uoD/FihPQZaUUCleQYttIOwBReYWDUwOVZFgFCF"
"xayAZdZtxIRReQTarvITN/YXaUcybzQPRZnYHIn","HAUS","2024-04-25T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5015","oTtIupzjqVcOdHhYRfiTEZnScaHoYeYfGlRXJWz","TQUtuUljVHQTcQhIYzFlqpfsQATLNPTmCZSQqdR"
"yRbBWneeAVbwLwURHVXRLzQvkNbMQNWPcuhcaum","HAUS","2020-01-24T00:00:00","2023-12-05T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09A1702","NWZHAaPbZMNiTgNzSXfUvegtmBLuwRfpTPZpchJ","QzbnjKTZvVjxOVMHrepRLmXreuBJunffhdUyhXh"
"'+REqfROebLpwXhEntDbmVyfRDXUDqJybXNQLCfe","HAUS","2020-01-24T00:00:00","2025-03-27T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 952","Private Haushalte in Mehrfamilienhäusern","J09A5017","mVBmJUDNvRDmUjsWGVoF+fzZbyAWmjLZmQgTdaS","NUVZIBZyzBsTXAVegOwXiZMvzVRGIZDmZawISuM"
"D/ugWUorEHSJXPnkErRAVcCtkYQESUzHWQYnpfY","WAEP","2020-01-24T00:00:00","2025-11-10T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1702","eYBfgvLuHHKWvzOFOYWNSGT/OHRzTeRZHVFhnjN","ZO+NuZaPCjNzVOVQFS+gkPFotYQnvdPK/KeDvMQ"
"jpDCYXFIfnbHCVKWfAVbOYT+GIUifBrTXtRUgUh","","2020-01-24T00:00:00","2023-12-11T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA","Private Haushalte","J09A4011","NxJkvvDasJgVXWYESEJZjdDlCl+kZhOCrRWXhVL","pjTfVAsHeYCWZJwUQdEmkDTKqVyQYPjiY/bZGGu"
"QuFbZggfzBCWpIVMUMoQTTauMYIfgqjZtYfrKqW","HAUS","2020-01-24T00:00:00","2021-01-13T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1704","YTQPhiYnJQFmHIYoXYwSHwXXqxEcUZHNCsIEEol","zeVQSzbhRkycWX+lZfWCKSn+KSjbpfZQglEUnSP"
